"","loan_status","loan_amnt","grade","home_ownership","annual_inc","age","ir_cat","emp_cat"
"27973","0",7500,"C","MORTGAGE",131000,25,"11-13.5","0-15"
"19440","0",9000,"C","MORTGAGE",130000,35,"11-13.5","0-15"
"28433","1",20000,"C","RENT",65000,23,"11-13.5","15-30"
"1459","1",7000,"B","RENT",22776,25,"8-11","Missing"
"7366","0",18000,"B","MORTGAGE",115000,28,"8-11","0-15"
"20110","1",3500,"C","RENT",30000,22,"13.5+","0-15"
"2284","1",7200,"B","RENT",45000,27,"8-11","0-15"
"14843","0",10000,"A","MORTGAGE",45000,24,"0-8","0-15"
"13449","1",25000,"C","MORTGAGE",79000,62,"11-13.5","15-30"
"23447","0",2000,"C","OWN",22000,30,"13.5+","0-15"
"7726","1",11500,"B","RENT",40000,23,"11-13.5","0-15"
"1221","1",15000,"F","RENT",67000,28,"Missing","0-15"
"10464","0",3200,"A","MORTGAGE",60000,25,"0-8","0-15"
"6800","0",4500,"A","MORTGAGE",70000,22,"0-8","0-15"
"20847","0",9250,"C","MORTGAGE",43000,24,"11-13.5","0-15"
"14393","0",10000,"D","OWN",43680,29,"13.5+","0-15"
"23201","0",5000,"A","MORTGAGE",60000,23,"Missing","0-15"
"15538","1",5000,"A","RENT",14400,23,"0-8","0-15"
"3328","1",1500,"B","RENT",32304,24,"8-11","15-30"
"24893","1",20000,"C","RENT",105000,23,"11-13.5","0-15"
"1983","0",2500,"A","OWN",48000,37,"0-8","0-15"
"1440","0",15000,"C","MORTGAGE",42000,22,"11-13.5","0-15"
"28612","0",5000,"D","RENT",25000,52,"11-13.5","15-30"
"25057","0",15000,"B","OTHER",84996,22,"11-13.5","0-15"
"9330","0",10000,"A","RENT",35000,45,"8-11","0-15"
"7168","0",12000,"B","MORTGAGE",95000,23,"11-13.5","0-15"
"11353","1",5600,"B","MORTGAGE",90000,37,"8-11","0-15"
"22065","0",10000,"C","MORTGAGE",70000,29,"13.5+","0-15"
"11474","0",24000,"A","RENT",60000,22,"0-8","0-15"
"25400","0",3000,"A","MORTGAGE",84000,26,"8-11","30-45"
"26946","0",6000,"A","MORTGAGE",91200,25,"0-8","0-15"
"23916","0",16000,"D","MORTGAGE",171200,31,"13.5+","0-15"
"23983","0",23500,"C","RENT",64000,39,"13.5+","0-15"
"26988","1",4000,"C","RENT",60000,26,"11-13.5","0-15"
"5333","0",12000,"B","RENT",70000,25,"11-13.5","0-15"
"12073","0",7000,"B","RENT",53250,27,"8-11","0-15"
"24837","0",15000,"B","MORTGAGE",115000,24,"11-13.5","0-15"
"7605","0",6000,"B","RENT",30840,41,"8-11","0-15"
"3911","0",5000,"A","RENT",47000,23,"8-11","0-15"
"13269","0",9500,"B","MORTGAGE",90400,31,"8-11","0-15"
"22899","0",4500,"A","RENT",24500,22,"8-11","0-15"
"10800","0",9000,"B","RENT",70000,31,"8-11","0-15"
"6761","0",18000,"E","RENT",58240,21,"13.5+","15-30"
"14972","0",7050,"C","RENT",25200,35,"11-13.5","0-15"
"6944","0",9500,"A","MORTGAGE",47300,24,"8-11","0-15"
"7537","0",5000,"C","RENT",66000,27,"13.5+","0-15"
"19595","0",24000,"D","RENT",66000,24,"13.5+","0-15"
"2303","0",20000,"B","MORTGAGE",120000,27,"8-11","15-30"
"11499","1",3000,"B","RENT",42000,22,"8-11","0-15"
"21087","0",5000,"B","MORTGAGE",284400,31,"Missing","Missing"
"18868","0",2500,"D","RENT",54000,23,"13.5+","0-15"
"26533","0",25000,"C","RENT",150000,30,"11-13.5","0-15"
"18157","0",4500,"A","RENT",32640,28,"0-8","0-15"
"11883","0",14400,"A","RENT",82000,23,"0-8","0-15"
"26308","0",15000,"C","MORTGAGE",85000,23,"11-13.5","0-15"
"16151","0",1500,"B","RENT",51600,43,"11-13.5","Missing"
"26713","0",9925,"A","MORTGAGE",48000,22,"8-11","0-15"
"20361","0",16000,"B","MORTGAGE",70000,24,"8-11","0-15"
"12758","0",8000,"B","RENT",65000,27,"8-11","15-30"
"25155","0",3500,"A","MORTGAGE",44496,23,"Missing","0-15"
"13527","0",1200,"A","RENT",14400,24,"0-8","0-15"
"20614","1",9250,"C","RENT",27120,22,"11-13.5","0-15"
"14429","0",15000,"A","MORTGAGE",66000,24,"0-8","15-30"
"23919","0",24250,"E","RENT",126000,29,"13.5+","0-15"
"17980","0",15000,"C","RENT",75000,27,"13.5+","0-15"
"3368","1",35000,"D","OWN",1e+05,23,"13.5+","0-15"
"21336","0",15000,"B","MORTGAGE",50000,27,"8-11","0-15"
"1799","0",10000,"C","RENT",45000,26,"Missing","0-15"
"4381","0",6300,"A","RENT",54503,25,"0-8","0-15"
"17823","0",10000,"A","MORTGAGE",62000,33,"0-8","0-15"
"27266","0",4000,"D","MORTGAGE",56500,33,"Missing","0-15"
"18851","0",2500,"C","RENT",42000,23,"13.5+","0-15"
"11138","0",8000,"C","MORTGAGE",50000,30,"11-13.5","0-15"
"17130","0",5000,"A","OWN",41718,25,"0-8","0-15"
"9194","0",33000,"B","MORTGAGE",70000,27,"Missing","0-15"
"768","0",5000,"B","MORTGAGE",110000,26,"11-13.5","0-15"
"9936","0",28000,"B","MORTGAGE",146990.04,25,"8-11","0-15"
"25609","0",6200,"C","RENT",45000,22,"13.5+","0-15"
"19256","0",4000,"A","RENT",67450,23,"0-8","0-15"
"22947","0",4500,"A","MORTGAGE",60000,23,"0-8","0-15"
"22151","0",12000,"A","RENT",90000,22,"8-11","0-15"
"16767","0",7000,"C","RENT",33600,24,"13.5+","0-15"
"22204","0",22000,"D","MORTGAGE",65000,28,"13.5+","0-15"
"20332","0",25000,"D","RENT",2e+05,28,"13.5+","0-15"
"24489","1",10000,"C","MORTGAGE",47000,22,"13.5+","0-15"
"28786","0",10000,"C","RENT",78504,31,"11-13.5","0-15"
"21571","0",16000,"C","MORTGAGE",79000,23,"11-13.5","15-30"
"18936","0",9000,"B","MORTGAGE",108000,26,"8-11","0-15"
"14079","0",6400,"B","OWN",24000,24,"8-11","0-15"
"5609","0",10000,"C","RENT",42000,25,"11-13.5","0-15"
"27397","0",10000,"C","RENT",33280,22,"11-13.5","0-15"
"2781","0",12000,"A","MORTGAGE",80000,28,"0-8","0-15"
"28477","0",16000,"B","RENT",572400,32,"8-11","15-30"
"5929","0",10000,"B","MORTGAGE",60000,25,"11-13.5","0-15"
"23666","0",6000,"B","RENT",48000,43,"11-13.5","0-15"
"26084","0",7750,"C","MORTGAGE",45000,26,"11-13.5","0-15"
"1642","0",21000,"B","MORTGAGE",53004,24,"8-11","0-15"
"12057","0",20000,"B","RENT",77625,29,"11-13.5","0-15"
"28458","0",15000,"D","OWN",46776,23,"11-13.5","15-30"
"21794","0",12000,"D","RENT",53000,26,"13.5+","0-15"
"16414","0",6000,"B","OWN",69000,29,"11-13.5","0-15"
"12952","0",10000,"D","RENT",48000,25,"13.5+","0-15"
"23232","0",12000,"A","MORTGAGE",64000,24,"8-11","0-15"
"27783","0",6000,"A","MORTGAGE",80004,24,"8-11","0-15"
"25918","0",7000,"C","MORTGAGE",36500,24,"11-13.5","0-15"
"7392","0",9000,"B","RENT",44000,26,"8-11","0-15"
"8280","0",6000,"B","RENT",17376,26,"8-11","0-15"
"16489","0",9600,"E","RENT",140000,31,"Missing","0-15"
"9191","0",9000,"C","RENT",30000,21,"11-13.5","0-15"
"21012","0",18000,"B","OWN",76000,23,"8-11","0-15"
"23249","0",15000,"B","RENT",65000,29,"11-13.5","0-15"
"14734","1",2050,"B","RENT",30000,31,"8-11","0-15"
"11697","0",10000,"C","OWN",44000,34,"11-13.5","0-15"
"21007","0",6000,"C","RENT",29820,23,"13.5+","0-15"
"25830","0",9600,"A","RENT",41000,30,"Missing","0-15"
"18491","1",12800,"D","MORTGAGE",141996,27,"13.5+","0-15"
"19059","0",1000,"B","RENT",25200,29,"8-11","0-15"
"27653","0",11000,"A","MORTGAGE",44000,30,"0-8","15-30"
"3057","0",6000,"A","MORTGAGE",60000,32,"0-8","15-30"
"24554","0",2375,"B","RENT",60000,32,"11-13.5","0-15"
"5701","0",15000,"B","MORTGAGE",65000,28,"8-11","15-30"
"23014","0",18600,"C","RENT",99700,28,"13.5+","0-15"
"9148","0",4800,"A","MORTGAGE",60000,22,"0-8","0-15"
"11803","0",10000,"B","RENT",30636,34,"8-11","0-15"
"8100","0",10600,"C","RENT",65600,33,"11-13.5","0-15"
"13528","0",10000,"A","RENT",24000,26,"Missing","0-15"
"7752","0",14000,"B","MORTGAGE",140400,42,"8-11","0-15"
"4625","0",14000,"A","MORTGAGE",85000,23,"0-8","0-15"
"23898","0",4900,"C","RENT",74000,24,"11-13.5","0-15"
"21713","0",3600,"A","OWN",44894,28,"0-8","0-15"
"20834","1",14500,"C","RENT",43200,25,"13.5+","0-15"
"28056","1",5050,"C","MORTGAGE",62000,28,"11-13.5","0-15"
"10634","0",12500,"C","OWN",38400,25,"11-13.5","0-15"
"15655","0",1800,"A","OWN",29184,22,"0-8","Missing"
"27879","0",10000,"C","MORTGAGE",36933.72,22,"11-13.5","0-15"
"2392","0",15000,"C","MORTGAGE",67200,25,"Missing","15-30"
"25367","0",11800,"B","RENT",35000,22,"8-11","0-15"
"27060","0",15000,"B","MORTGAGE",150000,28,"11-13.5","15-30"
"5087","0",7200,"A","OWN",74004,34,"0-8","0-15"
"7483","0",8400,"B","MORTGAGE",37308,22,"8-11","0-15"
"2035","0",7000,"C","RENT",39000,31,"Missing","0-15"
"27967","0",7500,"A","MORTGAGE",1e+05,26,"8-11","0-15"
"3114","0",7000,"A","MORTGAGE",43000,21,"0-8","0-15"
"6014","1",3000,"D","RENT",51996,22,"13.5+","0-15"
"11461","0",3000,"C","RENT",19000,22,"11-13.5","0-15"
"8200","0",4750,"B","RENT",20400,22,"11-13.5","0-15"
"12810","0",2000,"B","RENT",40000,31,"8-11","0-15"
"21466","0",10000,"B","MORTGAGE",60000,43,"8-11","15-30"
"16346","0",12000,"C","RENT",96000,30,"11-13.5","0-15"
"2799","0",6500,"B","MORTGAGE",95000,54,"8-11","0-15"
"18330","0",7000,"C","RENT",71000,51,"Missing","0-15"
"998","0",12000,"C","OWN",79768,24,"11-13.5","0-15"
"8216","0",6000,"B","MORTGAGE",110000,31,"11-13.5","0-15"
"20837","0",15000,"B","MORTGAGE",63000,34,"8-11","0-15"
"27553","1",20000,"C","RENT",52000,25,"11-13.5","0-15"
"27161","0",5750,"A","RENT",70000,25,"0-8","0-15"
"25133","0",8800,"A","RENT",23800,22,"8-11","0-15"
"2715","0",18200,"B","RENT",36400,25,"8-11","0-15"
"15895","1",11400,"A","RENT",35000,31,"0-8","0-15"
"1950","0",16000,"A","RENT",53000,22,"0-8","0-15"
"25394","0",10000,"B","MORTGAGE",45000,23,"11-13.5","0-15"
"26598","0",11000,"A","RENT",65867.36,35,"8-11","0-15"
"14533","1",3500,"C","MORTGAGE",65000,32,"13.5+","0-15"
"28907","0",25000,"D","RENT",52000,26,"11-13.5","0-15"
"11877","0",1825,"C","RENT",19200,25,"11-13.5","0-15"
"4684","0",12800,"A","RENT",77385.19,24,"Missing","0-15"
"14013","0",5875,"A","MORTGAGE",77237,22,"0-8","0-15"
"11464","0",3500,"A","MORTGAGE",140000,23,"0-8","0-15"
"20979","0",8400,"C","RENT",45000,51,"11-13.5","0-15"
"18573","0",7000,"D","RENT",26400,21,"13.5+","Missing"
"14440","0",1750,"E","OWN",12000,24,"Missing","0-15"
"2963","1",7500,"A","RENT",50000,21,"0-8","0-15"
"16336","0",5500,"A","OWN",54996,39,"0-8","0-15"
"16610","0",15000,"C","MORTGAGE",175000,26,"Missing","0-15"
"25406","0",12000,"B","RENT",58000,32,"11-13.5","0-15"
"3083","0",15000,"A","MORTGAGE",85000,30,"0-8","0-15"
"28819","0",2675,"A","RENT",40000,23,"8-11","15-30"
"6359","0",15000,"B","RENT",75000,23,"Missing","0-15"
"4535","1",6100,"A","MORTGAGE",50000,23,"Missing","0-15"
"16841","0",25000,"B","MORTGAGE",4e+05,29,"11-13.5","0-15"
"15555","0",16200,"D","RENT",60000,30,"13.5+","0-15"
"18546","0",4000,"D","RENT",47000,25,"13.5+","0-15"
"22506","0",15000,"D","MORTGAGE",74000,26,"Missing","0-15"
"18948","0",4000,"B","RENT",80000,22,"11-13.5","15-30"
"5889","1",9000,"A","RENT",39359,23,"Missing","0-15"
"13093","0",8000,"C","MORTGAGE",35000,29,"11-13.5","0-15"
"1842","0",8000,"B","MORTGAGE",38000,23,"11-13.5","0-15"
"11939","0",9350,"B","RENT",83196,32,"Missing","0-15"
"9666","0",4000,"B","RENT",26280,42,"8-11","0-15"
"13687","0",20000,"B","RENT",125000,27,"8-11","0-15"
"18593","0",6400,"A","MORTGAGE",22260,25,"0-8","0-15"
"17081","0",12000,"C","RENT",80000,24,"13.5+","0-15"
"3755","0",4800,"A","RENT",27700,21,"0-8","0-15"
"18692","0",8000,"B","RENT",62000,36,"11-13.5","0-15"
"4414","0",12000,"C","RENT",65000,33,"Missing","15-30"
"10070","1",12000,"D","MORTGAGE",60000,27,"13.5+","0-15"
"192","0",4000,"E","MORTGAGE",80000,25,"13.5+","15-30"
"25667","0",4000,"A","MORTGAGE",64992,26,"8-11","0-15"
"27501","1",10800,"C","RENT",39288,28,"11-13.5","0-15"
"10755","0",25000,"D","RENT",130000,23,"13.5+","0-15"
"17364","1",9800,"D","MORTGAGE",74500,23,"13.5+","30-45"
"23886","0",14400,"A","MORTGAGE",73000,24,"8-11","0-15"
"20060","0",9000,"A","MORTGAGE",106000,34,"0-8","0-15"
"21696","0",15000,"C","RENT",60000,23,"13.5+","0-15"
"15596","0",11000,"C","RENT",125000,26,"11-13.5","0-15"
"21766","0",24000,"G","RENT",120000,26,"13.5+","0-15"
"15229","0",1000,"B","RENT",42000,22,"8-11","0-15"
"12557","1",4800,"B","RENT",31200,22,"8-11","Missing"
"19305","0",12000,"A","MORTGAGE",56902,22,"0-8","0-15"
"16596","0",5500,"B","MORTGAGE",35496,28,"11-13.5","0-15"
"19744","1",5000,"D","RENT",39996,24,"13.5+","0-15"
"10707","0",10000,"A","RENT",79200,28,"0-8","0-15"
"18773","0",2500,"C","RENT",27000,26,"13.5+","0-15"
"8439","1",25475,"B","RENT",60000,22,"8-11","0-15"
"8318","0",2500,"B","OWN",36000,29,"8-11","0-15"
"12232","0",35000,"D","RENT",145000,40,"13.5+","0-15"
"14573","0",2250,"B","RENT",42000,30,"8-11","0-15"
"28678","0",7000,"A","MORTGAGE",33000,26,"0-8","0-15"
"20333","0",12200,"B","OWN",40900,23,"11-13.5","0-15"
"23335","1",15000,"B","MORTGAGE",84000,24,"Missing","0-15"
"4682","0",3350,"A","RENT",36000,25,"0-8","0-15"
"18178","0",4000,"A","MORTGAGE",80000,23,"0-8","0-15"
"10539","0",9000,"A","RENT",62400,22,"8-11","15-30"
"15489","0",21600,"A","RENT",83004,28,"0-8","0-15"
"19715","0",25000,"D","OWN",99996,38,"13.5+","15-30"
"442","1",7700,"D","RENT",29772.96,23,"13.5+","0-15"
"20491","0",1100,"A","RENT",35000,25,"0-8","Missing"
"5939","0",10000,"A","MORTGAGE",45000,28,"0-8","0-15"
"26917","1",10000,"B","RENT",68496,22,"11-13.5","0-15"
"14181","0",15000,"E","RENT",55000,28,"13.5+","0-15"
"8564","0",8500,"C","MORTGAGE",65000,23,"13.5+","0-15"
"15409","1",25000,"B","MORTGAGE",250000,26,"8-11","0-15"
"6499","0",18000,"C","RENT",78000,26,"11-13.5","0-15"
"18797","1",11200,"C","RENT",34800,31,"11-13.5","0-15"
"11886","0",1500,"C","MORTGAGE",35000,41,"11-13.5","15-30"
"19473","0",10000,"B","RENT",46999,26,"8-11","0-15"
"26452","1",12000,"A","MORTGAGE",69996,24,"Missing","0-15"
"7885","0",15775,"B","RENT",56472,40,"8-11","0-15"
"28963","0",9850,"A","RENT",70000,32,"0-8","0-15"
"13739","0",25000,"B","MORTGAGE",78456,42,"8-11","0-15"
"20017","0",3000,"D","RENT",25000,35,"13.5+","0-15"
"5253","0",8000,"A","RENT",72000,49,"0-8","0-15"
"96","0",7000,"B","RENT",30000,23,"11-13.5","0-15"
"17790","0",15000,"C","RENT",82000,33,"13.5+","0-15"
"7250","0",18000,"A","MORTGAGE",153600,25,"0-8","0-15"
"15386","0",1500,"A","MORTGAGE",1900000,60,"Missing","0-15"
"28333","0",15000,"B","RENT",175000,37,"8-11","0-15"
"23973","0",12000,"C","RENT",50000,23,"11-13.5","0-15"
"25115","0",20000,"C","RENT",75000,28,"11-13.5","0-15"
"27133","0",15000,"C","MORTGAGE",46394,23,"11-13.5","0-15"
"18840","0",4000,"B","MORTGAGE",50000,23,"11-13.5","0-15"
"15198","0",12000,"C","OWN",63996,29,"11-13.5","0-15"
"18994","0",1500,"B","MORTGAGE",70392,27,"Missing","0-15"
"12895","0",1500,"C","RENT",27996,30,"Missing","0-15"
"18789","0",10000,"B","OWN",3e+05,26,"8-11","0-15"
"13055","0",12000,"B","RENT",40000,27,"8-11","0-15"
"20808","0",2000,"C","RENT",20928,31,"11-13.5","0-15"
"28565","0",6350,"D","RENT",80415,23,"11-13.5","0-15"
"18502","0",3600,"D","RENT",15000,21,"13.5+","0-15"
"13955","0",10000,"A","RENT",35000,30,"0-8","0-15"
"16697","0",17000,"A","RENT",84996,35,"0-8","0-15"
"10884","0",15000,"A","RENT",75000,40,"0-8","0-15"
"25229","0",4000,"C","MORTGAGE",30000,26,"11-13.5","0-15"
"12489","0",5750,"C","MORTGAGE",38970.81,31,"11-13.5","Missing"
"6461","0",7000,"A","RENT",52000,38,"0-8","0-15"
"20865","0",16000,"B","RENT",135000,24,"8-11","0-15"
"17284","0",6450,"C","MORTGAGE",130000,34,"11-13.5","0-15"
"16619","0",9000,"B","MORTGAGE",54996,47,"8-11","0-15"
"17448","0",8000,"C","RENT",30000,24,"13.5+","0-15"
"163","1",15075,"C","RENT",35000,31,"Missing","0-15"
"4955","0",7000,"F","RENT",60000,25,"13.5+","0-15"
"28643","0",7000,"B","RENT",27600,25,"8-11","0-15"
"1468","0",1200,"B","RENT",29000,36,"11-13.5","0-15"
"22843","0",5000,"A","MORTGAGE",62000,22,"8-11","0-15"
"6904","0",28000,"D","MORTGAGE",240000,30,"13.5+","0-15"
"20993","1",15000,"D","MORTGAGE",66000,26,"13.5+","0-15"
"3203","0",16800,"B","RENT",125000,24,"11-13.5","0-15"
"995","1",2575,"C","RENT",44420,35,"13.5+","0-15"
"9104","0",5000,"C","RENT",36000,23,"13.5+","0-15"
"25592","0",15000,"B","MORTGAGE",46464,26,"11-13.5","0-15"
"21816","1",20500,"G","OWN",69000,34,"13.5+","0-15"
"290","0",12000,"A","MORTGAGE",40246,38,"8-11","0-15"
"3532","0",4500,"B","RENT",52000,29,"8-11","0-15"
"15434","1",10000,"C","OWN",30000,24,"11-13.5","0-15"
"24019","0",10000,"A","MORTGAGE",65000,24,"8-11","0-15"
"3880","0",14475,"C","RENT",50000,30,"Missing","0-15"
"12673","0",5000,"A","MORTGAGE",99000,27,"0-8","0-15"
"24146","0",8000,"D","MORTGAGE",70000,27,"13.5+","0-15"
"28567","0",25000,"B","MORTGAGE",37000,24,"8-11","0-15"
"2741","0",6000,"C","RENT",60000,39,"13.5+","0-15"
"17154","0",13000,"B","MORTGAGE",126400,35,"8-11","0-15"
"15748","0",19750,"C","RENT",45000,36,"11-13.5","0-15"
"19510","0",6000,"B","RENT",120000,26,"8-11","0-15"
"16090","0",6000,"B","RENT",39900,21,"11-13.5","0-15"
"17959","0",7750,"D","MORTGAGE",24000,44,"13.5+","Missing"
"24101","0",10000,"A","MORTGAGE",90000,27,"8-11","0-15"
"2845","0",3000,"C","RENT",74500,40,"13.5+","0-15"
"435","0",18000,"D","OWN",140000,28,"13.5+","0-15"
"21280","0",20000,"B","MORTGAGE",94000,25,"Missing","0-15"
"28125","0",7500,"C","RENT",105000,29,"11-13.5","0-15"
"6044","0",4000,"B","MORTGAGE",65000,23,"11-13.5","0-15"
"13597","1",7000,"B","MORTGAGE",73000,23,"8-11","15-30"
"2633","1",8000,"C","RENT",31000,26,"13.5+","0-15"
"5516","0",2200,"B","MORTGAGE",50123,28,"11-13.5","0-15"
"2121","0",3600,"B","MORTGAGE",90000,23,"11-13.5","0-15"
"23729","0",1800,"B","RENT",58000,22,"11-13.5","0-15"
"9777","0",3000,"A","RENT",33000,25,"0-8","0-15"
"3134","0",10000,"C","RENT",42000,25,"13.5+","0-15"
"11374","0",4800,"B","MORTGAGE",48000,25,"8-11","0-15"
"22602","0",22000,"B","OWN",210000,26,"11-13.5","0-15"
"12310","0",6000,"B","RENT",32000,30,"Missing","0-15"
"10709","0",25000,"B","RENT",78504,23,"8-11","15-30"
"19119","0",4000,"D","RENT",24000,41,"13.5+","0-15"
"9823","0",30000,"D","RENT",90000,36,"13.5+","0-15"
"1066","0",6000,"A","RENT",36000,31,"8-11","0-15"
"24629","1",7550,"C","MORTGAGE",36297,21,"11-13.5","0-15"
"3360","1",4200,"B","RENT",56650,30,"8-11","0-15"
"16256","0",16000,"A","OWN",60000,25,"0-8","0-15"
"22646","0",21600,"G","RENT",62000,23,"13.5+","0-15"
"15122","0",6000,"B","MORTGAGE",90996,21,"8-11","0-15"
"21441","0",10000,"B","RENT",56253,27,"11-13.5","0-15"
"3810","0",12000,"A","RENT",30000,28,"0-8","0-15"
"6847","0",3000,"C","RENT",52000,25,"11-13.5","0-15"
"28297","0",16000,"E","MORTGAGE",95827,28,"13.5+","0-15"
"25761","0",17000,"B","MORTGAGE",58000,25,"8-11","0-15"
"15897","0",9050,"A","MORTGAGE",108000,24,"0-8","0-15"
"14527","0",8400,"C","MORTGAGE",120000,24,"13.5+","0-15"
"7402","0",12000,"A","OWN",98000,24,"0-8","0-15"
"10832","0",35000,"C","RENT",170000,30,"11-13.5","0-15"
"3058","1",3000,"A","RENT",62400,29,"0-8","0-15"
"7163","0",6000,"A","MORTGAGE",134000,29,"0-8","0-15"
"19933","0",3000,"D","RENT",48876,28,"13.5+","0-15"
"13070","0",3700,"B","MORTGAGE",117000,23,"8-11","15-30"
"20089","0",14000,"A","OWN",68000,23,"Missing","0-15"
"745","0",9450,"C","RENT",28800,32,"13.5+","0-15"
"9786","0",10000,"A","RENT",25000,32,"8-11","0-15"
"17874","0",12000,"A","OWN",60000,28,"0-8","0-15"
"7772","0",5000,"A","MORTGAGE",80000,26,"Missing","0-15"
"22077","0",2500,"A","MORTGAGE",29200,24,"0-8","0-15"
"15815","0",12000,"B","MORTGAGE",110004,29,"8-11","15-30"
"2048","0",15600,"B","MORTGAGE",70000,25,"11-13.5","0-15"
"16711","0",6000,"D","MORTGAGE",28000,32,"13.5+","0-15"
"6375","0",3000,"B","MORTGAGE",33000,25,"11-13.5","15-30"
"25384","0",20000,"C","MORTGAGE",250000,29,"13.5+","0-15"
"26683","0",8000,"C","RENT",55000,31,"11-13.5","0-15"
"18673","0",25000,"D","MORTGAGE",120000,27,"13.5+","0-15"
"1637","0",10000,"A","RENT",75000,33,"Missing","0-15"
"9177","0",10000,"C","MORTGAGE",170000,31,"11-13.5","15-30"
"23804","0",14500,"A","RENT",1e+05,26,"8-11","0-15"
"12192","0",5700,"A","RENT",39996,36,"0-8","0-15"
"3509","0",10200,"B","MORTGAGE",126000,25,"Missing","0-15"
"19054","0",25000,"B","RENT",70000,24,"11-13.5","0-15"
"28782","1",16000,"D","RENT",91200,24,"11-13.5","0-15"
"22824","0",25000,"C","MORTGAGE",260000,31,"13.5+","0-15"
"7736","0",14000,"D","MORTGAGE",132000,24,"13.5+","0-15"
"5904","0",5000,"C","RENT",65000,27,"13.5+","0-15"
"5882","0",6000,"D","MORTGAGE",77000,26,"13.5+","0-15"
"8954","0",6400,"D","RENT",38000,34,"13.5+","0-15"
"2964","0",6000,"A","RENT",41000,24,"8-11","0-15"
"25021","0",6000,"C","RENT",65004,25,"11-13.5","0-15"
"25836","0",5500,"B","RENT",51504,29,"11-13.5","0-15"
"14604","0",10000,"B","RENT",58000,37,"Missing","0-15"
"26403","1",5000,"D","RENT",107028,35,"13.5+","0-15"
"10368","0",2400,"C","RENT",48000,24,"11-13.5","0-15"
"26839","0",15000,"E","MORTGAGE",77544,28,"13.5+","0-15"
"21769","0",11000,"C","MORTGAGE",79000,22,"11-13.5","0-15"
"6062","0",8000,"A","MORTGAGE",60000,22,"0-8","0-15"
"20387","0",8200,"B","RENT",40944,24,"11-13.5","0-15"
"26071","0",12000,"B","RENT",40000,26,"11-13.5","0-15"
"20579","0",5000,"B","MORTGAGE",50000,31,"8-11","0-15"
"11450","0",13250,"B","MORTGAGE",65496,21,"8-11","0-15"
"7501","0",10000,"A","RENT",90000,23,"0-8","0-15"
"8290","0",7000,"A","RENT",123000,31,"8-11","0-15"
"17744","0",6000,"D","RENT",39600,25,"13.5+","0-15"
"25675","0",7000,"A","MORTGAGE",60000,39,"0-8","15-30"
"28066","0",6000,"B","RENT",38000,24,"8-11","0-15"
"27079","0",5000,"C","MORTGAGE",75000,25,"13.5+","30-45"
"20545","0",15000,"B","MORTGAGE",55000,31,"11-13.5","0-15"
"24404","1",10000,"B","RENT",40000,29,"11-13.5","0-15"
"19291","0",13000,"A","MORTGAGE",92508,27,"0-8","0-15"
"7988","0",24000,"E","RENT",95000,22,"13.5+","0-15"
"7080","0",7700,"A","RENT",65000,56,"0-8","0-15"
"12449","0",14000,"C","RENT",81000,24,"13.5+","0-15"
"11654","0",25000,"A","MORTGAGE",70000,27,"0-8","30-45"
"14823","0",2500,"A","MORTGAGE",41820,22,"0-8","0-15"
"19857","0",2000,"C","RENT",19176,22,"13.5+","0-15"
"26847","0",8500,"C","RENT",40000,30,"11-13.5","0-15"
"16021","0",5000,"A","OWN",50000,30,"0-8","0-15"
"18651","0",8000,"C","MORTGAGE",54996,23,"13.5+","30-45"
"849","0",10000,"B","MORTGAGE",76500,28,"11-13.5","15-30"
"7090","0",7500,"B","MORTGAGE",54500,22,"8-11","0-15"
"9156","0",5000,"C","RENT",28000,40,"11-13.5","0-15"
"21807","0",3200,"D","RENT",48000,25,"13.5+","0-15"
"24095","0",10000,"F","MORTGAGE",78300,29,"13.5+","0-15"
"25287","0",13650,"C","MORTGAGE",54000,23,"Missing","0-15"
"23841","0",5000,"A","MORTGAGE",75000,22,"0-8","15-30"
"11662","0",12700,"A","MORTGAGE",50400,36,"0-8","0-15"
"27011","0",14000,"C","RENT",50000,28,"13.5+","0-15"
"24194","0",5600,"C","MORTGAGE",70000,33,"13.5+","0-15"
"14228","0",20000,"A","MORTGAGE",115000,25,"0-8","0-15"
"19844","0",4000,"D","RENT",31200,45,"13.5+","0-15"
"11876","0",6000,"B","RENT",85000,25,"8-11","0-15"
"22145","1",3600,"C","MORTGAGE",207000,29,"13.5+","0-15"
"28702","0",15000,"C","MORTGAGE",66000,22,"11-13.5","0-15"
"6367","0",8000,"D","RENT",80000,37,"13.5+","0-15"
"28341","0",25000,"B","MORTGAGE",120000,26,"8-11","0-15"
"2590","0",8000,"A","MORTGAGE",60000,23,"0-8","0-15"
"1403","0",12000,"D","RENT",68000,51,"13.5+","0-15"
"10489","0",24000,"B","RENT",78000,27,"8-11","0-15"
"19429","0",3000,"C","RENT",16000,31,"13.5+","0-15"
"16905","0",6000,"C","RENT",30000,31,"11-13.5","0-15"
"16772","0",5500,"A","MORTGAGE",97200,27,"Missing","0-15"
"24098","0",4800,"C","RENT",66000,33,"13.5+","0-15"
"20306","0",12000,"B","MORTGAGE",60000,21,"11-13.5","0-15"
"25053","0",4800,"C","RENT",42000,25,"11-13.5","0-15"
"365","1",16000,"A","RENT",51000,51,"0-8","0-15"
"2281","1",13650,"D","MORTGAGE",57600,27,"13.5+","0-15"
